lat	lon	title	description	iconSize	iconOffset	icon
5382043.3926506	1243292.4609312	ElsaGLUG	<a href="http://www.elsaglug.org/">http://www.elsaglug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5430491.7849335	1216943.3283416	SLUG	<a href="http://www.siena.linux.it/">http://www.siena.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5858734.1977366	1263524.3054028	Lug Bolzano	<a href="http://www.lugbz.org/">http://www.lugbz.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5802075.0048487	1237999.2006384	LinuxTrent	<a href="http://www.linuxtrent.it/">http://www.linuxtrent.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5762672.9308785	1204746.4755238	Gnucchi	<a href="http://www.gnucchi.org/">http://www.gnucchi.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5322272.0140081	1395070.8123357	GNU/Lug Perugia	<a href="http://www.perugiagnulug.org/">http://www.perugiagnulug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5271767.865763	1352929.3173176	OrvietoLug	<a href="http://www.orvietolug.it/">http://www.orvietolug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5261214.8354321	1376749.2808966	Terni GNU/Lug	<a href="http://www.ternignulug.org/">http://www.ternignulug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5737306.9501139	822394.1659471	SLAG	<a href="http://www.slag.it/">http://www.slag.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5830992.4054072	1354708.2992042	Blug	<a href="http://belluno.linux.it/">http://belluno.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5830992.4054072	1354708.2992042	LugAnegA	<a href="http://www.luganega.org/">http://www.luganega.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5676773.0795519	1314505.3193792	FSUG Padova	<a href="http://www.fsugpadova.org/">http://www.fsugpadova.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5623306.4037888	1327662.9069988	RoLug	<a href="http://rovigo.linux.it">http://rovigo.linux.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5747609.1597094	1360094.9637304	MontelLug	<a href="http://www.montellug.it/">http://www.montellug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5747609.1597094	1360094.9637304	TVLug	<a href="http://www.tvlug.it/">http://www.tvlug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5701620.7159966	1386763.0669868	0421ug	<a href="http://www.0421ug.org/">http://www.0421ug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5701620.7159966	1386763.0669868	VELug	<a href="http://www.velug.it/">http://www.velug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5687488.4612103	1228593.9604556	LinuxLudus	<a href="http://www.linuxludus.it/">http://www.linuxludus.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5687488.4612103	1228593.9604556	LugVR	<a href="http://www.verona.linux.it/">http://www.verona.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5728367.8182416	1279257.8477939	AVi Lug	<a href="http://avilug.zapto.org/">http://avilug.zapto.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5744337.8593792	1303379.3601074	GrappaFSD	<a href="http://grappafsd.homelinux.org/">http://grappafsd.homelinux.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5744337.8593792	1303379.3601074	Lug Vicenza	<a href="http://www.vicenza.linux.it/">http://www.vicenza.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
